City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Busselton,AU,79.0,clear sky,-33.65,115.33,Observatory Guest House
1,Fukue,JP,71.6,clear sky,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
9,Atuona,PF,78.33,light rain,-9.8,-139.03,Villa Enata
15,Sri Aman,MY,89.6,scattered clouds,1.24,111.46,Seri Simanggang Hotel
16,Qeshm,IR,71.6,clear sky,26.96,56.27,Kimia IV Hotel
18,Pundaguitan,PH,84.52,broken clouds,6.37,126.17,Leonardo Family Beach House 1
20,Umm Lajj,SA,87.8,clear sky,25.02,37.27,Moon light Furnished Units
22,Puerto Ayora,EC,70.0,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
23,Kensington,AU,70.0,scattered clouds,-33.92,151.22,Stamford Plaza Sydney Airport Hotel & Conference Centre
25,Butaritari,KI,82.45,overcast clouds,3.07,172.79,Isles Sunset Lodge
29,Bethlehem,BR,75.2,scattered clouds,-1.46,-48.5,Mercure Belém Boulevard Hotel
35,Rikitea,PF,74.26,clear sky,-23.12,-134.97,Pension Maro'i
40,Kalmunai,LK,88.56,scattered clouds,7.42,81.82,VS Villa
43,Ambulu,ID,84.88,few clouds,-8.35,113.61,Hotel Ambulu Jember
45,Mahebourg,MU,77.0,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
47,Balancan,MX,72.66,moderate rain,17.8,-91.53,Hotel Balam Ku
48,Vaini,TO,75.2,scattered clouds,-21.2,-175.2,Keleti Beach Resort
50,Kapaa,US,80.6,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
58,Bengkulu,ID,85.73,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
60,Banda Aceh,ID,88.23,few clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
62,Bowen,AU,89.6,scattered clouds,-20.02,148.23,Castle Motor Lodge Motel
63,Georgetown,MY,87.8,few clouds,5.41,100.34,Cititel Penang
67,Marsh Harbour,BS,81.16,overcast clouds,26.54,-77.06,Abaco Beach Resort
