,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.33,79.0,31,10,8.25,clear sky
1,Fukue,JP,32.69,128.84,71.6,49,0,13.87,clear sky
2,Swellendam,ZA,-34.02,20.44,55.4,87,63,9.17,broken clouds
3,Malu Cu Flori,RO,45.15,25.2,39.0,81,0,3.02,clear sky
4,Qaanaaq,GL,77.48,-69.36,29.75,85,76,8.16,broken clouds
5,San Cristobal,VE,7.77,-72.22,66.36,84,96,1.5,light rain
6,Winchester,GB,51.07,-1.32,55.99,93,100,14.99,light rain
7,Upernavik,GL,72.79,-56.15,33.78,88,100,10.2,overcast clouds
8,Dikson,RU,73.51,80.55,24.57,94,98,15.95,overcast clouds
9,Atuona,PF,-9.8,-139.03,78.33,78,1,19.73,light rain
10,Mossendjo,CG,-2.95,12.73,69.53,99,100,2.51,overcast clouds
11,Punta Arenas,CL,-53.15,-70.92,39.2,64,56,10.29,broken clouds
12,Port Elizabeth,ZA,-33.92,25.57,60.8,67,57,24.16,broken clouds
13,Dali,CN,25.7,100.18,58.89,87,100,4.74,overcast clouds
14,Mataura,NZ,-46.19,168.86,52.0,68,88,11.99,overcast clouds
15,Sri Aman,MY,1.24,111.46,89.6,66,40,2.24,scattered clouds
16,Qeshm,IR,26.96,56.27,71.6,26,0,4.7,clear sky
17,Dillon,US,34.42,-79.37,63.0,100,1,4.97,clear sky
18,Pundaguitan,PH,6.37,126.17,84.52,74,82,25.26,broken clouds
19,Yellowknife,CA,62.46,-114.35,26.01,85,90,1.66,light snow
20,Umm Lajj,SA,25.02,37.27,87.8,29,0,5.99,clear sky
21,Tazmalt,DZ,36.39,4.4,60.8,55,0,10.29,clear sky
22,Puerto Ayora,EC,-0.74,-90.35,70.0,91,88,4.0,overcast clouds
23,Kensington,AU,-33.92,151.22,70.0,64,40,14.99,scattered clouds
24,Jamestown,US,42.1,-79.24,53.01,100,90,3.36,mist
25,Butaritari,KI,3.07,172.79,82.45,77,100,11.79,overcast clouds
26,Tiksi,RU,71.69,128.87,14.94,92,100,22.86,overcast clouds
27,Khatanga,RU,71.97,102.5,12.94,96,81,6.44,broken clouds
28,Kharp,RU,66.8,65.81,16.61,92,8,1.57,clear sky
29,Bethlehem,BR,-1.46,-48.5,75.2,94,42,2.24,scattered clouds
30,Codrington,AU,-38.27,141.97,57.11,72,91,7.76,overcast clouds
31,Port Alfred,ZA,-33.59,26.89,63.5,68,15,22.93,few clouds
32,Hermanus,ZA,-34.42,19.23,57.99,85,39,5.01,light rain
33,Chuy,UY,-33.7,-53.46,62.37,91,9,15.35,clear sky
34,Clyde River,CA,70.47,-68.59,32.0,91,90,18.34,light rain
35,Rikitea,PF,-23.12,-134.97,74.26,78,0,13.47,clear sky
36,Kodiak,US,57.79,-152.41,44.6,56,1,8.05,clear sky
37,Hobart,AU,-42.88,147.33,69.01,55,40,14.99,scattered clouds
38,Saldanha,ZA,-33.01,17.94,51.8,81,47,1.12,scattered clouds
39,Bredasdorp,ZA,-34.53,20.04,55.4,87,57,9.17,broken clouds
40,Kalmunai,LK,7.42,81.82,88.56,50,28,4.45,scattered clouds
41,Dongsheng,CN,39.82,109.98,57.83,31,91,26.87,overcast clouds
42,Ushuaia,AR,-54.8,-68.3,35.6,93,90,24.16,sleet
43,Ambulu,ID,-8.35,113.61,84.88,70,16,10.16,few clouds
44,Orsha,BY,54.52,30.41,37.4,93,75,11.18,broken clouds
45,Mahebourg,MU,-20.41,57.7,77.0,69,40,12.75,scattered clouds
46,Lebu,CL,-37.62,-73.65,47.14,78,1,14.7,clear sky
47,Balancan,MX,17.8,-91.53,72.66,96,55,5.08,moderate rain
48,Vaini,TO,-21.2,-175.2,75.2,73,40,10.29,scattered clouds
49,Saint-Augustin,CA,51.23,-58.65,44.13,80,97,3.8,overcast clouds
50,Kapaa,US,22.08,-159.32,80.6,69,20,5.82,few clouds
51,Nikolskoye,RU,59.7,30.79,35.6,74,90,13.42,overcast clouds
52,Kenora,CA,49.82,-94.43,28.4,54,75,5.82,broken clouds
53,Talnakh,RU,69.49,88.4,14.0,85,96,6.71,light snow
54,Goderich,CA,43.75,-81.72,44.01,87,100,9.62,overcast clouds
55,Cape Town,ZA,-33.93,18.42,57.99,93,75,4.7,broken clouds
56,Bethel,US,41.37,-73.41,53.01,87,1,3.69,clear sky
57,Narsaq,GL,60.92,-46.05,33.8,86,98,1.12,overcast clouds
58,Bengkulu,ID,-3.8,102.27,85.73,62,100,5.19,overcast clouds
59,Melito Di Porto Salvo,IT,37.92,15.77,59.0,67,20,6.93,few clouds
60,Banda Aceh,ID,5.56,95.32,88.23,57,15,8.7,few clouds
61,Esperance,AU,-33.87,121.9,69.8,83,90,11.41,overcast clouds
62,Bowen,AU,-20.02,148.23,89.6,38,40,9.17,scattered clouds
63,Georgetown,MY,5.41,100.34,87.8,70,20,5.82,few clouds
64,New Norfolk,AU,-42.78,147.06,69.01,48,69,1.99,broken clouds
65,Hofn,IS,64.25,-15.21,37.47,75,0,10.02,clear sky
66,Nalut,LY,30.33,10.85,52.86,81,0,13.22,clear sky
67,Marsh Harbour,BS,26.54,-77.06,81.16,76,100,21.03,overcast clouds
68,Aklavik,CA,68.22,-135.01,23.0,92,90,5.82,light shower snow
69,Souillac,MU,-20.52,57.52,77.0,69,40,12.75,scattered clouds
70,Carnarvon,AU,-24.87,113.63,73.4,64,64,16.11,broken clouds
71,San Quintin,MX,30.48,-115.95,67.57,84,0,11.01,clear sky
72,Kununurra,AU,-15.77,128.73,100.4,31,35,10.29,scattered clouds
73,Salalah,OM,17.02,54.09,82.4,51,3,2.24,clear sky
74,Hilo,US,19.73,-155.09,78.8,69,40,8.05,scattered clouds
75,Katsuura,JP,35.13,140.3,68.0,54,83,5.99,broken clouds
76,Provideniya,RU,64.38,-173.3,39.2,80,40,2.24,scattered clouds
77,Longyearbyen,SJ,78.22,15.64,26.6,68,75,3.36,broken clouds
